__type,Date,Symbol,ExpiryDate,Open,High,Low,Close,PreviousClose,Volume,VolumeInThousands,Value,OpenInterest,DateDisplay,InstrumentName,StrikePrice,OptionType
MCX.BL.Bhavcopy,2025-12-05,GOLD         ,05DEC2025,127581.0,129032.0,127581.0,128425.0,127300.0,14,14.000 GRMS ,1796.45,22,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-12-04,GOLD         ,05DEC2025,127950.0,128217.0,126872.0,127300.0,127832.0,16,16.000 GRMS ,2040.69,26,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-12-03,GOLD         ,05DEC2025,128120.0,128120.0,127555.0,127832.0,127334.0,48,48.000 GRMS ,6136.39,80,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-12-02,GOLD         ,05DEC2025,127593.0,127836.0,126481.0,127334.0,127315.0,158,158.000 GRMS ,20110.53,39,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-12-01,GOLD         ,05DEC2025,127895.0,128415.0,127100.0,127315.0,126883.0,1694,1694.000 GRMS ,216532.56,1912,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-11-28,GOLD         ,05DEC2025,125729.0,126972.0,125510.0,126883.0,125504.0,6761,6761.000 GRMS ,852744.39,2363,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-11-27,GOLD         ,05DEC2025,125500.0,125910.0,125286.0,125504.0,125931.0,5063,5063.000 GRMS ,635866.55,4828,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-11-26,GOLD         ,05DEC2025,125750.0,126175.0,125205.0,125931.0,125225.0,9482,9482.000 GRMS ,1192837.01,6747,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-11-25,GOLD         ,05DEC2025,124789.0,125521.0,124460.0,125225.0,123854.0,10239,10239.000 GRMS ,1280361.56,8024,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-11-24,GOLD         ,05DEC2025,122743.0,124055.0,122605.0,123854.0,124191.0,8191,8191.000 GRMS ,1009772.7,9031,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-11-21,GOLD         ,05DEC2025,122373.0,124538.0,121546.0,124191.0,122727.0,13688,13688.000 GRMS ,1684939.76,9266,,FUTCOM,0.0,-
MCX.BL.Bhavcopy,2025-11-20,GOLD         ,05DEC2025,122953.0,123760.0,122000.0,122727.0,123051.0,10854,10854.000 GRMS ,1333456.78,10392,,FUTCOM,0.0,-
